Wejscie;Avg;Max;Min;
1.00;1.00;1.00;1.00;
1.00;1.00;1.00;1.00;
1.00;1.00;1.00;1.00;
1.00;1.00;1.00;1.00;
0.99;1.00;1.00;0.99;
0.99;1.00;1.00;0.99;
0.99;1.00;1.00;0.99;
0.99;0.99;1.00;0.99;
0.99;0.99;1.00;0.99;
0.99;0.99;1.00;0.99;
0.98;0.99;1.00;0.98;
0.98;0.99;1.00;0.98;
0.98;0.99;1.00;0.98;
0.98;0.99;1.00;0.98;
0.98;0.99;1.00;0.98;
0.98;0.99;1.00;0.98;
0.97;0.99;1.00;0.97;
0.97;0.99;1.00;0.97;
0.97;0.99;1.00;0.97;
0.97;0.98;1.00;0.97;
0.97;0.98;1.00;0.97;
0.96;0.98;1.00;0.96;
0.96;0.98;1.00;0.96;
0.96;0.98;1.00;0.96;
0.96;0.98;1.00;0.96;
0.96;0.98;1.00;0.96;
0.96;0.98;1.00;0.96;
0.95;0.98;1.00;0.95;
0.95;0.98;1.00;0.95;
0.95;0.98;1.00;0.95;
0.95;0.98;1.00;0.95;
0.95;0.97;1.00;0.95;
0.95;0.97;1.00;0.95;
0.94;0.97;1.00;0.94;
0.94;0.97;1.00;0.94;
0.94;0.97;1.00;0.94;
0.94;0.97;1.00;0.94;
0.94;0.97;1.00;0.94;
0.94;0.97;1.00;0.94;
0.94;0.97;1.00;0.94;
0.93;0.97;1.00;0.93;
0.93;0.97;1.00;0.93;
0.93;0.96;1.00;0.93;
0.93;0.96;1.00;0.93;
0.93;0.96;1.00;0.93;
0.93;0.96;1.00;0.93;
0.92;0.96;1.00;0.92;
0.92;0.96;1.00;0.92;
0.92;0.96;1.00;0.92;
0.92;0.96;1.00;0.92;
0.92;0.96;1.00;0.92;
0.92;0.96;1.00;0.92;
0.91;0.96;1.00;0.91;
0.91;0.96;1.00;0.91;
0.91;0.95;1.00;0.91;
0.91;0.95;1.00;0.91;
0.91;0.95;1.00;0.91;
0.90;0.95;1.00;0.90;
0.90;0.95;1.00;0.90;
0.90;0.95;1.00;0.90;
0.90;0.95;1.00;0.90;
0.90;0.95;1.00;0.90;
0.90;0.95;1.00;0.90;
0.89;0.95;1.00;0.89;
0.89;0.95;1.00;0.89;
0.89;0.95;1.00;0.89;
0.89;0.94;1.00;0.89;
0.89;0.94;1.00;0.89;
0.89;0.94;1.00;0.89;
0.88;0.94;1.00;0.88;
0.88;0.94;1.00;0.88;
0.88;0.94;1.00;0.88;
0.88;0.94;1.00;0.88;
0.88;0.94;1.00;0.88;
0.88;0.94;1.00;0.88;
0.88;0.94;1.00;0.88;
0.87;0.94;1.00;0.87;
0.87;0.94;1.00;0.87;
0.87;0.94;1.00;0.87;
0.87;0.93;1.00;0.87;
0.87;0.93;1.00;0.87;
0.87;0.93;1.00;0.87;
0.86;0.93;1.00;0.86;
0.86;0.93;1.00;0.86;
0.86;0.93;1.00;0.86;
0.86;0.93;1.00;0.86;
0.86;0.93;1.00;0.86;
0.86;0.93;1.00;0.86;
0.85;0.93;1.00;0.85;
0.85;0.93;1.00;0.85;
0.85;0.93;1.00;0.85;
0.85;0.92;1.00;0.85;
0.85;0.92;1.00;0.85;
0.85;0.92;1.00;0.85;
0.84;0.92;1.00;0.84;
0.84;0.92;1.00;0.84;
0.84;0.92;1.00;0.84;
0.84;0.92;1.00;0.84;
0.84;0.92;1.00;0.84;
0.83;0.92;1.00;0.83;
0.83;0.92;1.00;0.83;
0.83;0.92;1.00;0.83;
0.83;0.92;1.00;0.83;
0.83;0.91;1.00;0.83;
0.83;0.91;1.00;0.83;
0.82;0.91;1.00;0.82;
0.82;0.91;1.00;0.82;
0.82;0.91;1.00;0.82;
0.82;0.91;1.00;0.82;
0.82;0.91;1.00;0.82;
0.82;0.91;1.00;0.82;
